emoji,name,label
🙋‍♀️,woman raising hand,neutral
🙋‍♀,woman raising hand,neutral
🙋🏻‍♀️,woman raising hand: light skin tone,neutral
🙋🏻‍♀,woman raising hand: light skin tone,neutral
🙋🏼‍♀️,woman raising hand: medium-light skin tone,neutral
🙋🏼‍♀,woman raising hand: medium-light skin tone,neutral
🙋🏽‍♀️,woman raising hand: medium skin tone,neutral
🙋🏽‍♀,woman raising hand: medium skin tone,neutral
🙋🏾‍♀️,woman raising hand: medium-dark skin tone,neutral
🙋🏾‍♀,woman raising hand: medium-dark skin tone,neutral
🙋🏿‍♀️,woman raising hand: dark skin tone,neutral
🙋🏿‍♀,woman raising hand: dark skin tone,neutral
🧏,deaf person,neutral
🧏🏻,deaf person: light skin tone,neutral
🧏🏼,deaf person: medium-light skin tone,neutral
🧏🏽,deaf person: medium skin tone,neutral
🧏🏾,deaf person: medium-dark skin tone,neutral
🧏🏿,deaf person: dark skin tone,neutral
🧏‍♂️,deaf man,neutral
🧏‍♂,deaf man,neutral
🧏🏻‍♂️,deaf man: light skin tone,neutral
🧏🏻‍♂,deaf man: light skin tone,neutral
🧏🏼‍♂️,deaf man: medium-light skin tone,neutral
🧏🏼‍♂,deaf man: medium-light skin tone,neutral
🧏🏽‍♂️,deaf man: medium skin tone,neutral
🧏🏽‍♂,deaf man: medium skin tone,neutral
🧏🏾‍♂️,deaf man: medium-dark skin tone,neutral
🧏🏾‍♂,deaf man: medium-dark skin tone,neutral
🧏🏿‍♂️,deaf man: dark skin tone,neutral
🧏🏿‍♂,deaf man: dark skin tone,neutral
🧏‍♀️,deaf woman,neutral
🧏‍♀,deaf woman,neutral
🧏🏻‍♀️,deaf woman: light skin tone,neutral
🧏🏻‍♀,deaf woman: light skin tone,neutral
🧏🏼‍♀️,deaf woman: medium-light skin tone,neutral
🧏🏼‍♀,deaf woman: medium-light skin tone,neutral
🧏🏽‍♀️,deaf woman: medium skin tone,neutral
🧏🏽‍♀,deaf woman: medium skin tone,neutral
🧏🏾‍♀️,deaf woman: medium-dark skin tone,neutral
🧏🏾‍♀,deaf woman: medium-dark skin tone,neutral
🧏🏿‍♀️,deaf woman: dark skin tone,neutral
🧏🏿‍♀,deaf woman: dark skin tone,neutral
🙇,person bowing,neutral
🙇🏻,person bowing: light skin tone,neutral
🙇🏼,person bowing: medium-light skin tone,neutral
🙇🏽,person bowing: medium skin tone,neutral
🙇🏾,person bowing: medium-dark skin tone,neutral
🙇🏿,person bowing: dark skin tone,neutral
🙇‍♂️,man bowing,neutral
🙇‍♂,man bowing,neutral
🙇🏻‍♂️,man bowing: light skin tone,neutral
🙇🏻‍♂,man bowing: light skin tone,neutral
🙇🏼‍♂️,man bowing: medium-light skin tone,neutral
🙇🏼‍♂,man bowing: medium-light skin tone,neutral
🙇🏽‍♂️,man bowing: medium skin tone,neutral
🙇🏽‍♂,man bowing: medium skin tone,neutral
🙇🏾‍♂️,man bowing: medium-dark skin tone,neutral
🙇🏾‍♂,man bowing: medium-dark skin tone,neutral
🙇🏿‍♂️,man bowing: dark skin tone,neutral
🙇🏿‍♂,man bowing: dark skin tone,neutral
🙇‍♀️,woman bowing,neutral
🙇‍♀,woman bowing,neutral
🙇🏻‍♀️,woman bowing: light skin tone,neutral
🙇🏻‍♀,woman bowing: light skin tone,neutral
🙇🏼‍♀️,woman bowing: medium-light skin tone,neutral
🙇🏼‍♀,woman bowing: medium-light skin tone,neutral
🙇🏽‍♀️,woman bowing: medium skin tone,neutral
🙇🏽‍♀,woman bowing: medium skin tone,neutral
🙇🏾‍♀️,woman bowing: medium-dark skin tone,neutral
🙇🏾‍♀,woman bowing: medium-dark skin tone,neutral
🙇🏿‍♀️,woman bowing: dark skin tone,neutral
🙇🏿‍♀,woman bowing: dark skin tone,neutral
🤦,person facepalming,negative
🤦🏻,person facepalming: light skin tone,negative
🤦🏼,person facepalming: medium-light skin tone,negative
🤦🏽,person facepalming: medium skin tone,negative
🤦🏾,person facepalming: medium-dark skin tone,negative
🤦🏿,person facepalming: dark skin tone,negative
🤦‍♂️,man facepalming,negative
🤦‍♂,man facepalming,negative
🤦🏻‍♂️,man facepalming: light skin tone,negative
🤦🏻‍♂,man facepalming: light skin tone,negative
🤦🏼‍♂️,man facepalming: medium-light skin tone,negative
🤦🏼‍♂,man facepalming: medium-light skin tone,negative
🤦🏽‍♂️,man facepalming: medium skin tone,negative
🤦🏽‍♂,man facepalming: medium skin tone,negative
🤦🏾‍♂️,man facepalming: medium-dark skin tone,negative
🤦🏾‍♂,man facepalming: medium-dark skin tone,negative
🤦🏿‍♂️,man facepalming: dark skin tone,negative
🤦🏿‍♂,man facepalming: dark skin tone,negative
🤦‍♀️,woman facepalming,negative
🤦‍♀,woman facepalming,negative
🤦🏻‍♀️,woman facepalming: light skin tone,negative
🤦🏻‍♀,woman facepalming: light skin tone,negative
🤦🏼‍♀️,woman facepalming: medium-light skin tone,negative
🤦🏼‍♀,woman facepalming: medium-light skin tone,negative
🤦🏽‍♀️,woman facepalming: medium skin tone,negative
🤦🏽‍♀,woman facepalming: medium skin tone,negative
🤦🏾‍♀️,woman facepalming: medium-dark skin tone,negative
🤦🏾‍♀,woman facepalming: medium-dark skin tone,negative
🤦🏿‍♀️,woman facepalming: dark skin tone,negative
🤦🏿‍♀,woman facepalming: dark skin tone,negative
🤷,person shrugging,neutral
🤷🏻,person shrugging: light skin tone,neutral
🤷🏼,person shrugging: medium-light skin tone,neutral
🤷🏽,person shrugging: medium skin tone,neutral
🤷🏾,person shrugging: medium-dark skin tone,neutral
🤷🏿,person shrugging: dark skin tone,neutral
🤷‍♂️,man shrugging,neutral
🤷‍♂,man shrugging,neutral
🤷🏻‍♂️,man shrugging: light skin tone,neutral
🤷🏻‍♂,man shrugging: light skin tone,neutral
🤷🏼‍♂️,man shrugging: medium-light skin tone,neutral
🤷🏼‍♂,man shrugging: medium-light skin tone,neutral
🤷🏽‍♂️,man shrugging: medium skin tone,neutral
🤷🏽‍♂,man shrugging: medium skin tone,neutral
🤷🏾‍♂️,man shrugging: medium-dark skin tone,neutral
🤷🏾‍♂,man shrugging: medium-dark skin tone,neutral
🤷🏿‍♂️,man shrugging: dark skin tone,neutral
🤷🏿‍♂,man shrugging: dark skin tone,neutral
🤷‍♀️,woman shrugging,neutral
🤷‍♀,woman shrugging,neutral
🤷🏻‍♀️,woman shrugging: light skin tone,neutral
🤷🏻‍♀,woman shrugging: light skin tone,neutral
🤷🏼‍♀️,woman shrugging: medium-light skin tone,neutral
🤷🏼‍♀,woman shrugging: medium-light skin tone,neutral
🤷🏽‍♀️,woman shrugging: medium skin tone,neutral
🤷🏽‍♀,woman shrugging: medium skin tone,neutral
🤷🏾‍♀️,woman shrugging: medium-dark skin tone,neutral
🤷🏾‍♀,woman shrugging: medium-dark skin tone,neutral
🤷🏿‍♀️,woman shrugging: dark skin tone,neutral
🤷🏿‍♀,woman shrugging: dark skin tone,neutral
🧑‍⚕️,health worker,neutral
🧑‍⚕,health worker,neutral
🧑🏻‍⚕️,health worker: light skin tone,neutral
🧑🏻‍⚕,health worker: light skin tone,neutral
🧑🏼‍⚕️,health worker: medium-light skin tone,neutral
🧑🏼‍⚕,health worker: medium-light skin tone,neutral
🧑🏽‍⚕️,health worker: medium skin tone,neutral
🧑🏽‍⚕,health worker: medium skin tone,neutral
🧑🏾‍⚕️,health worker: medium-dark skin tone,neutral
🧑🏾‍⚕,health worker: medium-dark skin tone,neutral
🧑🏿‍⚕️,health worker: dark skin tone,neutral
🧑🏿‍⚕,health worker: dark skin tone,neutral
👨‍⚕️,man health worker,neutral
👨‍⚕,man health worker,neutral
👨🏻‍⚕️,man health worker: light skin tone,neutral
👨🏻‍⚕,man health worker: light skin tone,neutral
👨🏼‍⚕️,man health worker: medium-light skin tone,neutral
👨🏼‍⚕,man health worker: medium-light skin tone,neutral
👨🏽‍⚕️,man health worker: medium skin tone,neutral
👨🏽‍⚕,man health worker: medium skin tone,neutral
👨🏾‍⚕️,man health worker: medium-dark skin tone,neutral
👨🏾‍⚕,man health worker: medium-dark skin tone,neutral
👨🏿‍⚕️,man health worker: dark skin tone,neutral
👨🏿‍⚕,man health worker: dark skin tone,neutral
👩‍⚕️,woman health worker,neutral
👩‍⚕,woman health worker,neutral
👩🏻‍⚕️,woman health worker: light skin tone,neutral
👩🏻‍⚕,woman health worker: light skin tone,neutral
👩🏼‍⚕️,woman health worker: medium-light skin tone,neutral
👩🏼‍⚕,woman health worker: medium-light skin tone,neutral
👩🏽‍⚕️,woman health worker: medium skin tone,neutral
👩🏽‍⚕,woman health worker: medium skin tone,neutral
👩🏾‍⚕️,woman health worker: medium-dark skin tone,neutral
👩🏾‍⚕,woman health worker: medium-dark skin tone,neutral
👩🏿‍⚕️,woman health worker: dark skin tone,neutral
👩🏿‍⚕,woman health worker: dark skin tone,neutral
🧑‍🎓,student,neutral
🧑🏻‍🎓,student: light skin tone,neutral
🧑🏼‍🎓,student: medium-light skin tone,neutral
🧑🏽‍🎓,student: medium skin tone,neutral
🧑🏾‍🎓,student: medium-dark skin tone,neutral
🧑🏿‍🎓,student: dark skin tone,neutral
👨‍🎓,man student,neutral
👨🏻‍🎓,man student: light skin tone,neutral
👨🏼‍🎓,man student: medium-light skin tone,neutral
👨🏽‍🎓,man student: medium skin tone,neutral
👨🏾‍🎓,man student: medium-dark skin tone,neutral
👨🏿‍🎓,man student: dark skin tone,neutral
👩‍🎓,woman student,neutral
👩🏻‍🎓,woman student: light skin tone,neutral
👩🏼‍🎓,woman student: medium-light skin tone,neutral
👩🏽‍🎓,woman student: medium skin tone,neutral
👩🏾‍🎓,woman student: medium-dark skin tone,neutral
👩🏿‍🎓,woman student: dark skin tone,neutral
🧑‍🏫,teacher,neutral
🧑🏻‍🏫,teacher: light skin tone,neutral
🧑🏼‍🏫,teacher: medium-light skin tone,neutral
🧑🏽‍🏫,teacher: medium skin tone,neutral
🧑🏾‍🏫,teacher: medium-dark skin tone,neutral
🧑🏿‍🏫,teacher: dark skin tone,neutral
👨‍🏫,man teacher,neutral
👨🏻‍🏫,man teacher: light skin tone,neutral
👨🏼‍🏫,man teacher: medium-light skin tone,neutral
👨🏽‍🏫,man teacher: medium skin tone,neutral
👨🏾‍🏫,man teacher: medium-dark skin tone,neutral
👨🏿‍🏫,man teacher: dark skin tone,neutral
👩‍🏫,woman teacher,neutral
👩🏻‍🏫,woman teacher: light skin tone,neutral
👩🏼‍🏫,woman teacher: medium-light skin tone,neutral
👩🏽‍🏫,woman teacher: medium skin tone,neutral
👩🏾‍🏫,woman teacher: medium-dark skin tone,neutral
👩🏿‍🏫,woman teacher: dark skin tone,neutral
🧑‍⚖️,judge,neutral
🧑‍⚖,judge,neutral
🧑🏻‍⚖️,judge: light skin tone,neutral
🧑🏻‍⚖,judge: light skin tone,neutral
🧑🏼‍⚖️,judge: medium-light skin tone,neutral
🧑🏼‍⚖,judge: medium-light skin tone,neutral
🧑🏽‍⚖️,judge: medium skin tone,neutral
🧑🏽‍⚖,judge: medium skin tone,neutral
🧑🏾‍⚖️,judge: medium-dark skin tone,neutral
🧑🏾‍⚖,judge: medium-dark skin tone,neutral
🧑🏿‍⚖️,judge: dark skin tone,neutral
🧑🏿‍⚖,judge: dark skin tone,neutral
👨‍⚖️,man judge,neutral
👨‍⚖,man judge,neutral
👨🏻‍⚖️,man judge: light skin tone,neutral
👨🏻‍⚖,man judge: light skin tone,neutral
👨🏼‍⚖️,man judge: medium-light skin tone,neutral
👨🏼‍⚖,man judge: medium-light skin tone,neutral
👨🏽‍⚖️,man judge: medium skin tone,neutral
👨🏽‍⚖,man judge: medium skin tone,neutral
👨🏾‍⚖️,man judge: medium-dark skin tone,neutral
👨🏾‍⚖,man judge: medium-dark skin tone,neutral
👨🏿‍⚖️,man judge: dark skin tone,neutral
👨🏿‍⚖,man judge: dark skin tone,neutral
👩‍⚖️,woman judge,neutral
👩‍⚖,woman judge,neutral
👩🏻‍⚖️,woman judge: light skin tone,neutral
👩🏻‍⚖,woman judge: light skin tone,neutral
👩🏼‍⚖️,woman judge: medium-light skin tone,neutral
👩🏼‍⚖,woman judge: medium-light skin tone,neutral
👩🏽‍⚖️,woman judge: medium skin tone,neutral
👩🏽‍⚖,woman judge: medium skin tone,neutral
👩🏾‍⚖️,woman judge: medium-dark skin tone,neutral
👩🏾‍⚖,woman judge: medium-dark skin tone,neutral
👩🏿‍⚖️,woman judge: dark skin tone,neutral
👩🏿‍⚖,woman judge: dark skin tone,neutral
🧑‍🌾,farmer,neutral
🧑🏻‍🌾,farmer: light skin tone,neutral
🧑🏼‍🌾,farmer: medium-light skin tone,neutral
🧑🏽‍🌾,farmer: medium skin tone,neutral
🧑🏾‍🌾,farmer: medium-dark skin tone,neutral
🧑🏿‍🌾,farmer: dark skin tone,neutral
👨‍🌾,man farmer,neutral
👨🏻‍🌾,man farmer: light skin tone,neutral
👨🏼‍🌾,man farmer: medium-light skin tone,neutral
👨🏽‍🌾,man farmer: medium skin tone,neutral
👨🏾‍🌾,man farmer: medium-dark skin tone,neutral
👨🏿‍🌾,man farmer: dark skin tone,neutral
👩‍🌾,woman farmer,neutral
👩🏻‍🌾,woman farmer: light skin tone,neutral
👩🏼‍🌾,woman farmer: medium-light skin tone,neutral
👩🏽‍🌾,woman farmer: medium skin tone,neutral
👩🏾‍🌾,woman farmer: medium-dark skin tone,neutral
👩🏿‍🌾,woman farmer: dark skin tone,neutral
🧑‍🍳,cook,neutral
🧑🏻‍🍳,cook: light skin tone,neutral
🧑🏼‍🍳,cook: medium-light skin tone,neutral
🧑🏽‍🍳,cook: medium skin tone,neutral
🧑🏾‍🍳,cook: medium-dark skin tone,neutral
🧑🏿‍🍳,cook: dark skin tone,neutral
👨‍🍳,man cook,neutral
👨🏻‍🍳,man cook: light skin tone,neutral
👨🏼‍🍳,man cook: medium-light skin tone,neutral
👨🏽‍🍳,man cook: medium skin tone,neutral
👨🏾‍🍳,man cook: medium-dark skin tone,neutral
👨🏿‍🍳,man cook: dark skin tone,neutral
👩‍🍳,woman cook,neutral
👩🏻‍🍳,woman cook: light skin tone,neutral
👩🏼‍🍳,woman cook: medium-light skin tone,neutral
👩🏽‍🍳,woman cook: medium skin tone,neutral
👩🏾‍🍳,woman cook: medium-dark skin tone,neutral
👩🏿‍🍳,woman cook: dark skin tone,neutral
🧑‍🔧,mechanic,neutral
🧑🏻‍🔧,mechanic: light skin tone,neutral
🧑🏼‍🔧,mechanic: medium-light skin tone,neutral
🧑🏽‍🔧,mechanic: medium skin tone,neutral
🧑🏾‍🔧,mechanic: medium-dark skin tone,neutral
🧑🏿‍🔧,mechanic: dark skin tone,neutral
👨‍🔧,man mechanic,neutral
👨🏻‍🔧,man mechanic: light skin tone,neutral
👨🏼‍🔧,man mechanic: medium-light skin tone,neutral
👨🏽‍🔧,man mechanic: medium skin tone,neutral
👨🏾‍🔧,man mechanic: medium-dark skin tone,neutral
👨🏿‍🔧,man mechanic: dark skin tone,neutral
👩‍🔧,woman mechanic,neutral
👩🏻‍🔧,woman mechanic: light skin tone,neutral
👩🏼‍🔧,woman mechanic: medium-light skin tone,neutral
👩🏽‍🔧,woman mechanic: medium skin tone,neutral
👩🏾‍🔧,woman mechanic: medium-dark skin tone,neutral
👩🏿‍🔧,woman mechanic: dark skin tone,neutral
🧑‍🏭,factory worker,neutral
🧑🏻‍🏭,factory worker: light skin tone,neutral
🧑🏼‍🏭,factory worker: medium-light skin tone,neutral
🧑🏽‍🏭,factory worker: medium skin tone,neutral
🧑🏾‍🏭,factory worker: medium-dark skin tone,neutral
🧑🏿‍🏭,factory worker: dark skin tone,neutral
👨‍🏭,man factory worker,neutral
👨🏻‍🏭,man factory worker: light skin tone,neutral
👨🏼‍🏭,man factory worker: medium-light skin tone,neutral
👨🏽‍🏭,man factory worker: medium skin tone,neutral
👨🏾‍🏭,man factory worker: medium-dark skin tone,neutral
👨🏿‍🏭,man factory worker: dark skin tone,neutral
👩‍🏭,woman factory worker,neutral
👩🏻‍🏭,woman factory worker: light skin tone,neutral
👩🏼‍🏭,woman factory worker: medium-light skin tone,neutral
👩🏽‍🏭,woman factory worker: medium skin tone,neutral
👩🏾‍🏭,woman factory worker: medium-dark skin tone,neutral
👩🏿‍🏭,woman factory worker: dark skin tone,neutral
🧑‍💼,office worker,neutral
🧑🏻‍💼,office worker: light skin tone,neutral
🧑🏼‍💼,office worker: medium-light skin tone,neutral
🧑🏽‍💼,office worker: medium skin tone,neutral
🧑🏾‍💼,office worker: medium-dark skin tone,neutral
🧑🏿‍💼,office worker: dark skin tone,neutral
👨‍💼,man office worker,neutral
👨🏻‍💼,man office worker: light skin tone,neutral
👨🏼‍💼,man office worker: medium-light skin tone,neutral
👨🏽‍💼,man office worker: medium skin tone,neutral
👨🏾‍💼,man office worker: medium-dark skin tone,neutral
👨🏿‍💼,man office worker: dark skin tone,neutral
👩‍💼,woman office worker,neutral
👩🏻‍💼,woman office worker: light skin tone,neutral
👩🏼‍💼,woman office worker: medium-light skin tone,neutral
👩🏽‍💼,woman office worker: medium skin tone,neutral
👩🏾‍💼,woman office worker: medium-dark skin tone,neutral
👩🏿‍💼,woman office worker: dark skin tone,neutral
🧑‍🔬,scientist,neutral
🧑🏻‍🔬,scientist: light skin tone,neutral
🧑🏼‍🔬,scientist: medium-light skin tone,neutral
🧑🏽‍🔬,scientist: medium skin tone,neutral
🧑🏾‍🔬,scientist: medium-dark skin tone,neutral
🧑🏿‍🔬,scientist: dark skin tone,neutral
👨‍🔬,man scientist,neutral
👨🏻‍🔬,man scientist: light skin tone,neutral
👨🏼‍🔬,man scientist: medium-light skin tone,neutral
👨🏽‍🔬,man scientist: medium skin tone,neutral
👨🏾‍🔬,man scientist: medium-dark skin tone,neutral
👨🏿‍🔬,man scientist: dark skin tone,neutral
👩‍🔬,woman scientist,neutral
👩🏻‍🔬,woman scientist: light skin tone,neutral
👩🏼‍🔬,woman scientist: medium-light skin tone,neutral
👩🏽‍🔬,woman scientist: medium skin tone,neutral
👩🏾‍🔬,woman scientist: medium-dark skin tone,neutral
👩🏿‍🔬,woman scientist: dark skin tone,neutral
🧑‍💻,technologist,neutral
🧑🏻‍💻,technologist: light skin tone,neutral
🧑🏼‍💻,technologist: medium-light skin tone,neutral
🧑🏽‍💻,technologist: medium skin tone,neutral
🧑🏾‍💻,technologist: medium-dark skin tone,neutral
🧑🏿‍💻,technologist: dark skin tone,neutral
👨‍💻,man technologist,neutral
👨🏻‍💻,man technologist: light skin tone,neutral
👨🏼‍💻,man technologist: medium-light skin tone,neutral
👨🏽‍💻,man technologist: medium skin tone,neutral
👨🏾‍💻,man technologist: medium-dark skin tone,neutral
👨🏿‍💻,man technologist: dark skin tone,neutral
👩‍💻,woman technologist,neutral
👩🏻‍💻,woman technologist: light skin tone,neutral
👩🏼‍💻,woman technologist: medium-light skin tone,neutral
👩🏽‍💻,woman technologist: medium skin tone,neutral
👩🏾‍💻,woman technologist: medium-dark skin tone,neutral
👩🏿‍💻,woman technologist: dark skin tone,neutral
🧑‍🎤,singer,neutral
🧑🏻‍🎤,singer: light skin tone,neutral
🧑🏼‍🎤,singer: medium-light skin tone,neutral
🧑🏽‍🎤,singer: medium skin tone,neutral
🧑🏾‍🎤,singer: medium-dark skin tone,neutral
🧑🏿‍🎤,singer: dark skin tone,neutral
👨‍🎤,man singer,neutral
👨🏻‍🎤,man singer: light skin tone,neutral
👨🏼‍🎤,man singer: medium-light skin tone,neutral
👨🏽‍🎤,man singer: medium skin tone,neutral
👨🏾‍🎤,man singer: medium-dark skin tone,neutral
👨🏿‍🎤,man singer: dark skin tone,neutral
👩‍🎤,woman singer,neutral
👩🏻‍🎤,woman singer: light skin tone,neutral
👩🏼‍🎤,woman singer: medium-light skin tone,neutral
👩🏽‍🎤,woman singer: medium skin tone,neutral
👩🏾‍🎤,woman singer: medium-dark skin tone,neutral
👩🏿‍🎤,woman singer: dark skin tone,neutral
🧑‍🎨,artist,neutral
🧑🏻‍🎨,artist: light skin tone,neutral
🧑🏼‍🎨,artist: medium-light skin tone,neutral
🧑🏽‍🎨,artist: medium skin tone,neutral
🧑🏾‍🎨,artist: medium-dark skin tone,neutral
🧑🏿‍🎨,artist: dark skin tone,neutral
👨‍🎨,man artist,neutral
👨🏻‍🎨,man artist: light skin tone,neutral
👨🏼‍🎨,man artist: medium-light skin tone,neutral
👨🏽‍🎨,man artist: medium skin tone,neutral
👨🏾‍🎨,man artist: medium-dark skin tone,neutral
👨🏿‍🎨,man artist: dark skin tone,neutral
👩‍🎨,woman artist,neutral
👩🏻‍🎨,woman artist: light skin tone,neutral
👩🏼‍🎨,woman artist: medium-light skin tone,neutral
👩🏽‍🎨,woman artist: medium skin tone,neutral
👩🏾‍🎨,woman artist: medium-dark skin tone,neutral
👩🏿‍🎨,woman artist: dark skin tone,neutral
🧑‍✈️,pilot,neutral
🧑‍✈,pilot,neutral
🧑🏻‍✈️,pilot: light skin tone,neutral
🧑🏻‍✈,pilot: light skin tone,neutral
🧑🏼‍✈️,pilot: medium-light skin tone,neutral
🧑🏼‍✈,pilot: medium-light skin tone,neutral
🧑🏽‍✈️,pilot: medium skin tone,neutral
🧑🏽‍✈,pilot: medium skin tone,neutral
🧑🏾‍✈️,pilot: medium-dark skin tone,neutral
🧑🏾‍✈,pilot: medium-dark skin tone,neutral
🧑🏿‍✈️,pilot: dark skin tone,neutral
🧑🏿‍✈,pilot: dark skin tone,neutral
👨‍✈️,man pilot,neutral
👨‍✈,man pilot,neutral
👨🏻‍✈️,man pilot: light skin tone,neutral
👨🏻‍✈,man pilot: light skin tone,neutral
👨🏼‍✈️,man pilot: medium-light skin tone,neutral
👨🏼‍✈,man pilot: medium-light skin tone,neutral
👨🏽‍✈️,man pilot: medium skin tone,neutral
👨🏽‍✈,man pilot: medium skin tone,neutral
👨🏾‍✈️,man pilot: medium-dark skin tone,neutral
👨🏾‍✈,man pilot: medium-dark skin tone,neutral
👨🏿‍✈️,man pilot: dark skin tone,neutral
👨🏿‍✈,man pilot: dark skin tone,neutral
👩‍✈️,woman pilot,neutral
👩‍✈,woman pilot,neutral
👩🏻‍✈️,woman pilot: light skin tone,neutral
👩🏻‍✈,woman pilot: light skin tone,neutral
👩🏼‍✈️,woman pilot: medium-light skin tone,neutral
👩🏼‍✈,woman pilot: medium-light skin tone,neutral
👩🏽‍✈️,woman pilot: medium skin tone,neutral
👩🏽‍✈,woman pilot: medium skin tone,neutral
👩🏾‍✈️,woman pilot: medium-dark skin tone,neutral
👩🏾‍✈,woman pilot: medium-dark skin tone,neutral
👩🏿‍✈️,woman pilot: dark skin tone,neutral
👩🏿‍✈,woman pilot: dark skin tone,neutral
🧑‍🚀,astronaut,neutral
🧑🏻‍🚀,astronaut: light skin tone,neutral
🧑🏼‍🚀,astronaut: medium-light skin tone,neutral
🧑🏽‍🚀,astronaut: medium skin tone,neutral
🧑🏾‍🚀,astronaut: medium-dark skin tone,neutral
🧑🏿‍🚀,astronaut: dark skin tone,neutral
👨‍🚀,man astronaut,neutral
👨🏻‍🚀,man astronaut: light skin tone,neutral
👨🏼‍🚀,man astronaut: medium-light skin tone,neutral
👨🏽‍🚀,man astronaut: medium skin tone,neutral
👨🏾‍🚀,man astronaut: medium-dark skin tone,neutral
👨🏿‍🚀,man astronaut: dark skin tone,neutral
👩‍🚀,woman astronaut,neutral
👩🏻‍🚀,woman astronaut: light skin tone,neutral
👩🏼‍🚀,woman astronaut: medium-light skin tone,neutral
👩🏽‍🚀,woman astronaut: medium skin tone,neutral
👩🏾‍🚀,woman astronaut: medium-dark skin tone,neutral
👩🏿‍🚀,woman astronaut: dark skin tone,neutral
🧑‍🚒,firefighter,neutral
🧑🏻‍🚒,firefighter: light skin tone,neutral
🧑🏼‍🚒,firefighter: medium-light skin tone,neutral
🧑🏽‍🚒,firefighter: medium skin tone,neutral
🧑🏾‍🚒,firefighter: medium-dark skin tone,neutral
🧑🏿‍🚒,firefighter: dark skin tone,neutral
👨‍🚒,man firefighter,neutral
👨🏻‍🚒,man firefighter: light skin tone,neutral
👨🏼‍🚒,man firefighter: medium-light skin tone,neutral
👨🏽‍🚒,man firefighter: medium skin tone,neutral
👨🏾‍🚒,man firefighter: medium-dark skin tone,neutral
👨🏿‍🚒,man firefighter: dark skin tone,neutral
👩‍🚒,woman firefighter,neutral
👩🏻‍🚒,woman firefighter: light skin tone,neutral
👩🏼‍🚒,woman firefighter: medium-light skin tone,neutral
👩🏽‍🚒,woman firefighter: medium skin tone,neutral
👩🏾‍🚒,woman firefighter: medium-dark skin tone,neutral
👩🏿‍🚒,woman firefighter: dark skin tone,neutral
👮,police officer,neutral
👮🏻,police officer: light skin tone,neutral
👮🏼,police officer: medium-light skin tone,neutral
👮🏽,police officer: medium skin tone,neutral
👮🏾,police officer: medium-dark skin tone,neutral
👮🏿,police officer: dark skin tone,neutral
👮‍♂️,man police officer,neutral
👮‍♂,man police officer,neutral
👮🏻‍♂️,man police officer: light skin tone,neutral
👮🏻‍♂,man police officer: light skin tone,neutral
👮🏼‍♂️,man police officer: medium-light skin tone,neutral
👮🏼‍♂,man police officer: medium-light skin tone,neutral
👮🏽‍♂️,man police officer: medium skin tone,neutral
👮🏽‍♂,man police officer: medium skin tone,neutral
👮🏾‍♂️,man police officer: medium-dark skin tone,neutral
👮🏾‍♂,man police officer: medium-dark skin tone,neutral
👮🏿‍♂️,man police officer: dark skin tone,neutral
👮🏿‍♂,man police officer: dark skin tone,neutral
👮‍♀️,woman police officer,neutral
👮‍♀,woman police officer,neutral
👮🏻‍♀️,woman police officer: light skin tone,neutral
👮🏻‍♀,woman police officer: light skin tone,neutral
👮🏼‍♀️,woman police officer: medium-light skin tone,neutral
👮🏼‍♀,woman police officer: medium-light skin tone,neutral
👮🏽‍♀️,woman police officer: medium skin tone,neutral
👮🏽‍♀,woman police officer: medium skin tone,neutral
👮🏾‍♀️,woman police officer: medium-dark skin tone,neutral
👮🏾‍♀,woman police officer: medium-dark skin tone,neutral
👮🏿‍♀️,woman police officer: dark skin tone,neutral
👮🏿‍♀,woman police officer: dark skin tone,neutral
🕵️,detective,neutral
🕵,detective,neutral
🕵🏻,detective: light skin tone,neutral
🕵🏼,detective: medium-light skin tone,neutral
🕵🏽,detective: medium skin tone,neutral
🕵🏾,detective: medium-dark skin tone,neutral
🕵🏿,detective: dark skin tone,neutral
🕵️‍♂️,man detective,neutral
🕵‍♂️,man detective,neutral
🕵️‍♂,man detective,neutral
🕵‍♂,man detective,neutral
🕵🏻‍♂️,man detective: light skin tone,neutral
🕵🏻‍♂,man detective: light skin tone,neutral
🕵🏼‍♂️,man detective: medium-light skin tone,neutral
🕵🏼‍♂,man detective: medium-light skin tone,neutral
🕵🏽‍♂️,man detective: medium skin tone,neutral
🕵🏽‍♂,man detective: medium skin tone,neutral
🕵🏾‍♂️,man detective: medium-dark skin tone,neutral
🕵🏾‍♂,man detective: medium-dark skin tone,neutral
🕵🏿‍♂️,man detective: dark skin tone,neutral
🕵🏿‍♂,man detective: dark skin tone,neutral
🕵️‍♀️,woman detective,neutral
🕵‍♀️,woman detective,neutral
🕵️‍♀,woman detective,neutral
🕵‍♀,woman detective,neutral
🕵🏻‍♀️,woman detective: light skin tone,neutral
🕵🏻‍♀,woman detective: light skin tone,neutral
🕵🏼‍♀️,woman detective: medium-light skin tone,neutral
🕵🏼‍♀,woman detective: medium-light skin tone,neutral
🕵🏽‍♀️,woman detective: medium skin tone,neutral
🕵🏽‍♀,woman detective: medium skin tone,neutral
🕵🏾‍♀️,woman detective: medium-dark skin tone,neutral
🕵🏾‍♀,woman detective: medium-dark skin tone,neutral
🕵🏿‍♀️,woman detective: dark skin tone,neutral
